Question,Answer
What is the difference between Classic and Post Room and Pillar methods?,"In Classic Room and Pillar, pillars are left throughout the mining area in a regular pattern. In Post Room and Pillar, pillars are placed strategically after initial extraction of ore, allowing for larger extraction areas."
What mining method is depicted as suitable for a narrow vein with a steep dip?,"The image shows Narrow Vein mining with a steep dip, utilizing longhole drilling, charging, blasting, and mucking-out techniques."
What are the stages shown in the VCR (Vertical Crater Retreat) Mining method?,The VCR method is illustrated in two stages: Primary Stopes (initial extraction) and Secondary Stopes (subsequent extraction after backfilling the primary stopes).
What is the purpose of backfilling in VCR Mining – Secondary Stopes?,"Backfilling in the VCR method's secondary stope stage provides ground support and stability, making it possible to safely extract additional ore from beneath the primary stope which has been filled."
What is the process depicted in the image?,"The image shows mining in subsequent levels, illustrating how mining operations progress from one level to another, with backfilling used to support the upper levels."
What is the purpose of the backfilled stope?,"The backfilled stope provides support and stability to the upper levels of the mine after extraction is complete at that level, preventing collapses."
How are the different mining levels accessed in this diagram?,The image shows inclined ramps or tunnels (the purple structures) providing access to different levels of the mine.
What is indicated by the yellow vehicles in the image?,The yellow vehicles represent mining equipment operating at the different levels within the mine. These are likely involved in the excavation and transportation of mined material.
"What is the significance of ""Development at a Lower Level""?","""Development at a Lower Level"" indicates the preparatory work (tunneling, etc.) being undertaken to access and prepare for mining operations at a new, lower level below the level already mined."
What is the purpose of long grouted cables in the shown rock support method?,Long grouted cables provide support to the stope back and help to prevent rockfalls from the next lift after blasting. They resist tensile forces.
What role does backfill play in the depicted rock support systems?,"Backfill provides support to the hangingwall and helps to distribute the load, preventing failure surfaces from developing."
How do rockbolts contribute to rock support in these examples?,"Rockbolts are installed into the rock mass to reinforce it, providing shear resistance and helping to prevent horizontal cracking and overall roof failure."
What are the different types of stresses indicated in the diagram showing a cable under load?,"The diagram shows that cables are subject to confining pressure (pressure from surrounding rock), radial displacement (rock movement around the cable), and the cable itself resists these forces by developing a tensile force."
What is the significance of the joint set parallel to the hangingwall in the final diagram showing support?,"The parallel joint set indicates the orientation of natural fractures in the rock. The cable placement is specifically designed to intersect and support the rock along this potentially unstable plane, thus preventing failure along the hangingwall."
What is the primary focus of the presentation?,"Performance monitoring in steel, concrete, and rock mass structures."
What key parameters are of interest to engineers when monitoring these structures?,"Displacement, load stress, strain, seepage/water pressure, vibration and air overpressure (due to blasting and earthquakes), seismicity, uplift pressure, temperature, environmental conditions, and alignment and tilt."
What is the main challenge in performance monitoring of rock mass structures?,"The presence of numerous unknown parameters, some of which require laboratory or in-situ determination, making assumptions necessary."
"In steel and concrete structures, what behavioral characteristics are typically known to designers?","Strength, deformation, and thermal properties."
What is illustrated by the diagrams of the layers of earth moving in opposite directions and a weight?,"The concepts of displacement and load, which are key aspects of performance monitoring."
What are the three defining characteristics of a mineral?,A mineral is a naturally occurring substance with a definite chemical composition and distinct physical characteristics.
What are some examples of base metals?,"Base metals include copper, lead, zinc, and tin."
What are some examples of industrial minerals?,"Industrial minerals include phosphate, potash, stone, sand, gravel, sulfur, salt, and industrial diamond."
"Besides coal and oil, what are some examples of marginal sources of mineral/fossil fuels?","Marginal sources include lignite, oil shale, tar sand, and coalbed methane."
"What is a metalliferous mine, according to the MMR (1961) definition?",A metalliferous mine includes every mine other than a coal or an oil mine.
What is the process depicted in the image called?,"The process is called shotcreting, which is also referred to as concrete spraying."
What is the purpose of shotcreting as shown in the image?,"The image shows shotcreting being used to apply a layer of concrete to a rock face, likely for stabilization and support."
What type of equipment is used in shotcreting?,"The image shows two types of equipment: a large machine on tracks that sprays the concrete (a shotcrete machine), and a smaller, hand-held nozzle for more precise application in tight areas."
What is the material being sprayed in the image?,The material being sprayed is concrete. The image highlights the application of wet-mix shotcrete.
What appears to be the purpose of the diamond-shaped pattern on the sprayed concrete in the main image?,The diamond-shaped pattern likely represents reinforcement or anchors embedded in the wet concrete to improve its adhesion and overall stability to the rock face.
What is the process illustrated in the image?,"The image illustrates the process of blasting, a method used to break up a material (like rock) using explosives."
"What is the ""muck"" in the context of this image?","The ""muck"" refers to the fragmented material, or debris, resulting from the blasting operation."
What is the direction of the blast indicated in the image?,"The arrow indicates that the throw direction of the blasted material is to the right, away from the source of the explosion."
What is the purpose of blasting as shown in the image?,"The purpose is to fracture and remove a section of material (the dark-colored section), creating fragmented pieces (the muck)."
What does the pattern of small diamonds on the yellowish material represent?,The small diamonds likely represent the placement of explosives or boreholes in the material prior to blasting. They show a relatively uniform distribution.
What spatial characteristics of a deposit are considered in planning mining methods?,"Size (dimensions) and shape (tabular, lenticular, massive, or irregular) of the deposit, as well as its attitude (inclination and dip) and depth (mean, extreme values, and stripping ratio) are all important considerations."
What geologic and hydrologic conditions influence mining method selection?,"Mineralogy, petrography, and chemical composition (primary and by-product minerals) of the deposit, its structure (folds, faults, discontinuities, and intrusions), planes of weakness (joints, fractures, and cleavage), uniformity, alteration, weathering, and groundwater conditions (occurrence, flow rate, and water table) all play significant roles."
How do geotechnical properties of soil and rock affect mining method selection?,"The elastic properties (strength, modulus of elasticity, and Poisson's ratio), plastic or viscoelastic behavior (flow and creep), state of stress (original and modified), consolidation, compaction, competence, and physical properties (specific gravity, voids, porosity, permeability, and moisture content) all need to be considered."
What is the importance of groundwater in mining planning?,"Groundwater's occurrence, flow rate, and the location of the water table are crucial for planning because they can significantly impact mining operations, potentially leading to issues like flooding or the need for dewatering systems (as shown in the diagram)."
What are some examples of deposit structures that affect mining planning?,"Folds, faults, discontinuities, and intrusions within the deposit are structural features that influence mining method selection. These features can affect stability, access, and the overall feasibility of different mining approaches."
What is the primary purpose of instrumentation in engineering projects?,"Instrumentation provides data that assists engineers throughout every stage of a project, from initial site investigation to final performance evaluation. A successful program defines the purpose of installing instruments and implements decisions based on data interpretations."
What are the four main stages of how an instrument works?,An instrument works in four stages: 1) A sensor/detector responds to changes in the monitored variable; 2) a transmitter sends this data to a read-out location; 3) a processor converts the data into usable form; and 4) a data acquisition system/read-out unit presents this data to the engineer.
What are some examples of technologies or working principles used in instrumentation?,"Instrumentation utilizes various technologies, including mechanical, optical, hydraulic & pneumatic, and electrical principles."
At what stages of a project is instrumentation data utilized?,"Instrumentation data is used in all project phases: site investigation, design verification, construction control, quality control, safety assessments, legal protection considerations, and final performance evaluation."
What key specifications are considered when evaluating the quality and reliability of instrumentation?,"Key specifications include sensor type, range, resolution, accuracy, precision, conformance, robustness, and reliability."
What is the name of the transportation system depicted in the image?,"The image shows a transportation system used in mining, specifically within a backfilled stope. The specific name isn't explicitly given but it appears to be a ramp-based system."
What is the role of the LHD (Load-Haul-Dump) in this system?,"The LHD is responsible for mucking, which is the process of loading and transporting the extracted material (ore) from the backfilled stope."
What is the purpose of the backfilled stope?,The backfilled stope is the area where mining is occurring. The backfilling likely refers to a method of filling the void created after ore extraction to maintain mine stability.
What is the function of the ramp in this mining operation?,The ramp serves as an inclined roadway or passageway for the LHD to transport material up or down levels within the mine.
"What does ""LPDT"" likely stand for in the context of this image, and what is its purpose?","While not explicitly defined, LPDT likely represents a type of equipment or system related to drilling or transportation within the mine. Its exact function in the depicted system isn’t fully specified within the image. It appears to be part of the larger transportation infrastructure."
"How are ore bodies mined using the ""Ore Slices"" method?","Mining is carried out in horizontal slices along the ore body, starting from the bottom slice and progressing upwards."
"What is the mining sequence in the ""Ore Slices"" method?","It follows a bottom-up sequence, meaning the bottom slice is mined first, and then subsequent levels are mined in ascending order."
"What happens to the excavated area in the ""Ore Slices"" method?","The excavated area is backfilled, which means it is filled with material after mining is completed at that level."
"Does the ""Ore Slices"" method involve continuous production?","Yes, production continues upwards as each level is mined and backfilled."
"What is a variation of the ""Ore Slices"" method mentioned?",A variation is the underhand cut and fill method.
What material is used for backfilling in the depicted mining method?,"Mine waste, such as mill tailings or waste rock from development, can be effectively utilized as backfill material."
What is the purpose of the fill pipes in this backfilling process?,The fill pipes deliver the fill material into the void left after blasting.
"What is the role of the ""Fill Wall"" in the diagram?",The fill wall forms a stable platform for mining operations at the next level.
What happens to the void left after blasting rock in this slice mining technique?,The void created by blasting is maintained and filled using fill material.
What is the overall result of this backfilling technique regarding the mining operation?,The backfilled slice becomes a stable working platform for mining at the next level.
What significant development in mining technology occurred in the middle of the 19th century?,"The search for and development of mechanical mining equipment began, along with new drilling techniques."
What advancements are depicted regarding rock tools and materials in the image?,"The image shows improvements in the design and composition of rock tools, suggesting enhanced durability and efficiency."
What type of equipment became prevalent in the early 20th century in mining?,Electro-hydraulic equipment became prominent in mining during the early 20th century.
What technological advancements are characterizing the 21st-century mining industry?,The use of Artificial Intelligence and automation is booming in the 21st century's mining operations.
What is illustrated in the image representing the middle of the 19th century?,"A photograph shows an early mechanical drilling rig, representing the beginning of the shift towards mechanized mining."
What is the process depicted in the image?,The image shows the blasting and removal of material from upper slices in an underground mining operation. Production continues until the stope is complete.
What is the purpose of blasting in this context?,"Blasting is used to break up and loosen the rock material in the upper slices of the mine, allowing for its removal and transportation."
How does production continue after the initial blasting?,A new access drive is created from the ramp to allow continued production from the upper stopes after the initial section is blasted and removed.
Until when does production from the slices continue?,Production from the slices continues until the entire stope (the area being mined) is completed.
What is the role of the ramp in this mining operation?,The ramp serves as an initial access point and a starting point for creating new access drives to continue production from upper stopes.
"How many major commodity minerals are being mined worldwide, according to the data from 2019?",Over 70 major commodity minerals are being mined worldwide (WMP@2019).
What is the total value of India's mineral production for the fiscal year 2021-22?,"The total value of India's mineral production for FY 2021-22 was approximately Rs. 1,90,389 crores (MoM AR21)."
"How many minerals does India produce, and what are their classifications?","India produces 95 minerals, categorized as 4 fuel, 10 metallic, 23 non-metallic, 3 atomic, and 55 minor minerals."
"What percentage of the world's mineral production does India contribute, based on the provided Gigatons data?",India contributes 7.14% of the world's mineral production based on the Gigatons data presented.
What is the projected development length (in km) by Fiscal Year 2027?,The projected development length by FY 2027 is 326.94 km.
What is the process depicted in the image?,"The image depicts the process of scaling, which involves removing loose or unstable rock from a surface, such as a mine wall or tunnel."
What type of equipment is used in the scaling process shown?,"A specialized scaling machine, a type of remotely operated vehicle (ROV), equipped with a long arm and a breaking mechanism is used to dislodge unstable rock from a distance."
What is the purpose of the yellow material on the wall?,The yellow material appears to be a protective layer or a support structure installed on the rock wall. Its purpose is likely to prevent rock falls or to reinforce the overall stability of the rockface.
What does the colorful pattern on the large rock indicate?,The multicolored sections on the large rock likely represent different levels of stress or structural weakness within the rock. This helps identify areas requiring scaling.
Why is scaling important in the context of this image (likely mining)?,"Scaling is crucial for mine safety. Removing loose rock prevents potentially dangerous rockfalls and collapses, protecting workers and equipment."
What is the main topic illustrated in the diagram?,"The diagram shows a post-mining scenario, specifically illustrating the arrangement of pillars and backfilled stopes after mining operations."
What are the two types of pillars shown in the post-mining scenario?,The image shows Crown Pillars and Sill Pillars.
What material fills the spaces between the pillars in the diagram?,"The spaces between the pillars are backfilled with stopes (likely a mixture of waste rock, tailings, and/or other materials)."
What are the primary concerns highlighted in the post-mining scenario?,The main concerns are the stability of the pillars and potential surface subsidence.
What is a stope in the context of this mining scenario?,"In this context, a stope refers to an area where ore has been extracted, and in this post-mining scenario, it is the area that is filled with backfill material."
What are some key economic considerations in mining method selection?,"Economic considerations include reserves (tonnages and grades), production rate (output per unit time), mine life (operating period for development and exploitation), productivity (output per unit of labor and time), and comparative mining costs of suitable methods."
How do technological factors influence mining method selection?,"Technological factors include mine recovery (portion of deposit actually extracted), dilution (amount of waste produced with ore), the selectivity of the method to distinguish ore and waste, concentration or dispersion of workings, and the flexibility of the method to adapt to changing conditions. Capital, labor, and mechanization intensities are also important technological considerations."
What environmental concerns must be addressed when choosing a mining method?,"Environmental concerns encompass physical, social-political-economic climate impacts, ground control measures, subsidence or caving effects on the surface, and atmospheric control (ventilation, quality control, heat and humidity control). Workforce considerations (recruitment, training, health and safety, living conditions, and community impact) are also crucial environmental factors."
"What is ""mine recovery"" in the context of mining method selection?",Mine recovery refers to the portion of the ore deposit that is actually extracted during the mining process.
"What is meant by ""dilution"" in mining operations?",Dilution is the amount of waste material (such as barren rock) that is extracted along with the desired ore.
What is the process depicted in the image?,"The image shows the loading (or mucking) stage of underground mining, where broken ore is collected and transported."
What type of equipment is used for loading the blasted ore?,A Load-Haul-Dump (LHD) machine is used to load the broken ore.
What is the term used to describe the process of removing broken ore?,"The process of removing the broken ore is called ""mucking""."
"What is the ""blasted face"" in the context of this image?","The ""blasted face"" refers to the freshly exposed rock surface after a blasting operation in the mine."
Where is the broken ore transported after it is loaded?,The loaded ore is transported to either trucks or an ore pass for further processing or transport out of the mine.
What is the method shown for extracting ore from the depicted level?,"The image shows a slice-by-slice method. Ore is extracted from horizontal slices or levels using blasting, progressing from one slice to the next."
"What is the purpose of the ""cross cut"" shown in the image?",The cross cut provides access for blasting and ore removal within a specific level or slice.
What is indicated by the yellow lines in the image?,The yellow lines represent the boundaries of a level or slice being mined.
"What does the term ""Mined out Slice-1"" signify?","This indicates that the first slice (or level) has been completely mined, with all the ore removed."
What is the role of blasting in this mining operation?,"Blasting is used to fracture and break up the ore within each slice, allowing for its extraction."
What is the purpose of the backfilled stopes in the diagram?,"The backfilled stopes represent areas in a mine that have been filled after mining operations, providing support and preventing ground instability."
"Where do rock stresses increase significantly, according to the diagram?",Rock stresses increase significantly in the crown pillar (the pillar of rock above the mined area).
"What is the area labeled ""Zones of Stress Redistribution""?",This area shows where the stresses in the rock mass are being redistributed due to the mining and backfilling operations.
How are the stresses represented visually in the diagram?,"The stresses are visually represented by the color intensity; darker/redder colors indicate areas of higher stress, while lighter/cooler colors indicate areas of lower stress."
What is a crown pillar in the context of this image?,A crown pillar is the remaining pillar of rock left above a mined-out area to support the overlying rock and prevent collapse.
What is the purpose of back slashing in the context of the image?,Back slashing provides access to upper slices within the stope (likely a mining operation).
What does the red arrow in the image indicate?,"The red arrow shows the direction and location of the back slashing cut, creating access to higher levels of the stope."
What appears to be depicted in the image?,"The image seems to be a cross-section or schematic representation of a mining stope, showing a method of access (back slashing) to upper levels."
What type of mining method is likely being illustrated?,"The image suggests some form of underground mining, where the ore body is extracted in horizontal or sub-horizontal slices (layers)."
What is a stope in mining?,A stope is an underground excavation where ore is extracted. The image shows a method of accessing different levels (slices) within a single stope.
What are the two main categories of underground mining methods shown in the table?,The two main categories are Unsupported and Supported methods.
Which unsupported mining method is best suited for strong ore and strong rock strength?,Stope and Pillar is best suited for strong ore and strong rock strength among unsupported methods.
What is the preferred deposit shape for the Longwall mining method?,The preferred deposit shape for the Longwall method is Tabular.
Which method is most suitable for deposits that are shallow to moderate in depth and have a moderate to high ore grade?,"Several methods could be suitable, but Cut and Fill is explicitly mentioned in the table as having a moderate depth and a fairly high ore grade."
What is a key difference in deposit size requirements between Sublevel Caving and Block Caving?,"Sublevel Caving prefers large, thick deposits, while Block Caving requires very large, thick deposits."
What are the two main categories of underground metal mining methods shown in the diagram?,"The diagram shows ""Open Stope"" and ""Filled Stope"" methods as primary categories, with further sub-categories under each. There is also a ""Shrinkage Stope"" and ""Caving"" method shown."
What are some examples of open stope mining methods?,"Examples of open stope mining methods include breast stoping (with variations like herringbone and scattered pile), room and pillar, and underhand methods (like Cornish and glory hole). Overhand methods like sublevel stoping are also included."
What is the difference between narrow vein and wide vein methods within the context of filled stope mining?,"The filled stope method adapts to the ore body's width. ""Narrow vein"" methods are used for thinner ore deposits, while ""wide vein"" methods are employed for thicker ones. Specific techniques like cut and fill are adapted accordingly."
What are the primary timbering methods illustrated for filled stopes?,"The diagram shows ""Square Set"" and ""Creep Set Timbered"" as timbering methods used to support the excavation in filled stope mining. There is also a ""Rill Face"" method shown."
What are the different types of caving methods depicted?,"The image shows three types of caving methods: top slicing, sub-level caving, and block caving. These methods involve controlled collapse of the ore body for extraction."
What was the primary mining technique used in the Stone Age?,"Prehistoric hominids primarily used loose rock for digging, and practiced thermal-stress methods."
What significant technological advancement occurred in the Iron Age (2nd Millennium BC)?,"The introduction of iron tools allowed for the digging of deeper holes, extending beyond natural cracks."
For how long was the pick and wedge method the dominant mining technique?,The pick and wedge method was the primary mining technique for three centuries.
What era of mining technology preceded the widespread use of machinery?,"The era of hand-labour, characterized by manual hammering, lasted until the early 19th century."
What period marked the end of the late Iron Age mining techniques?,The Late Iron Age mining techniques lasted until the beginning of the Industrial Revolution.
What is the purpose of the ventilation duct shown in the image?,"The ventilation duct is designed to remove toxic fumes generated during mining operations, ensuring a safer environment for workers."
What are the toxic fumes shown in the image emanating from?,The toxic fumes are shown emanating from the muck pile (broken rock and ore) resulting from the mining process.
"What is the material labeled ""muck"" in the image?","""Muck"" refers to the broken rock and ore that is extracted during mining activities."
How does the ventilation system work according to the image?,"The ventilation system uses a duct to draw air from the mine face, removing the toxic fumes generated by the mining process and directing them away from the workers."
What is the potential hazard depicted in this diagram?,"The potential hazard is the presence of toxic fumes generated from the muck pile, posing a health risk to miners if not properly ventilated."
What are the two main processes depicted in the image?,The image shows the drilling and charging processes in what appears to be a mining or excavation operation.
What type of equipment is used for the drilling process?,"A large, yellow, specialized drilling machine mounted on a tracked chassis is used for drilling. It appears to be a boom-type drill."
What is the purpose of the drilling process shown?,"The drilling process creates holes in the rock face to prepare it for the next stage, which is charging (likely with explosives)."
What is depicted in the lower right section of the image?,"The lower right shows the charging process, where explosives or other blasting agents are likely being placed into the pre-drilled holes. A smaller vehicle with an elevated platform is involved, suggesting manual placement of the charge."
What protective measure is visible in the image?,"A protective lining or support system (the yellow material with diamond-shaped patterns) is present on the tunnel walls, presumably to enhance safety and stability during the drilling and blasting operations."
What are the three underground metal mining methods depicted in the image?,"The image shows Sublevel Open Stoping, Big Hole Open Stoping, and Cut and Fill mining methods."
Describe the process of Sublevel Open Stoping as shown in the diagram.,"In Sublevel Open Stoping, long-hole drilling and blasting are used to create a stope. Undercut fan blasting further loosens the ore, which is then loaded into a transport drift via a loading crosscut at the draw point."
How does Big Hole Open Stoping differ from Sublevel Open Stoping in terms of ore extraction?,"Both methods use long-hole drilling and blasting, but Big Hole Open Stoping typically involves a larger, single stope, whereas Sublevel Open Stoping uses multiple levels and smaller stopes for a more controlled extraction process."
What is the role of hydraulic sandfill in the Cut and Fill method?,"Hydraulic sandfill is used to fill the mined-out void in the Cut and Fill method, providing support for the surrounding rock and allowing for the creation of subsequent levels."
What is the purpose of the ventilation tube in the Cut and Fill method diagram?,"The ventilation tube provides fresh air and removes exhaust fumes from the underground workings, ensuring the safety of the miners."
What is the typical range of ore body width for this type of deposit?,"The width is typically narrow to moderate, ranging from 2 meters to 40 meters."
How would you characterize the strength of the ore itself in this context?,"The ore strength is moderate to strong, but less competent than what unsupported mining methods could handle."
Describe the typical shape and continuity of ore deposits under these conditions.,"The deposits are typically tabular, irregular, and discontinuous in shape."
What is the range of depth at which these ore bodies are typically found?,"These ore bodies are found at moderate to deep depths, ranging from less than 1.2 kilometers to 2.4 kilometers."
"How steep is the typical dip angle of these ore deposits, and are there any exceptions?","The typical dip angle is moderate to fairly steep (35° to 90°). However, flatter deposits can occur if the ore passes are steeper than the angle of repose."
What are two methods shown for accessing an ore body?,The image depicts access via a shaft and a ramp.
What is the term used to describe the horizontal sections or layers shown within the ore body?,The horizontal sections within the ore body are referred to as Levels/Slices.
What is the purpose of the cross-cut shown in the image?,"The cross-cut provides a method of horizontal access through the ore body, allowing for extraction from multiple levels."
What is the term for the overall mass of ore being depicted?,The overall mass of ore is referred to as the Ore Body.
What is the structural difference between a shaft and a ramp used to access the ore?,"A shaft is a vertical passage, while a ramp is an inclined or sloped passage."
What is a key advantage of this mining method in terms of production?,It offers moderate productivity (10 to 20 tons per employee per shift) and a moderate production rate suitable for moderate-scale operations.
How does this method handle waste materials?,"The method permits good selectivity and sorting, and waste materials can be used as fill. Surface waste can also be disposed of underground as fill."
What is a significant cost disadvantage associated with this mining method?,"A fairly high mining cost is a disadvantage, compounded by the costly handling of waste (approximately 50% of the total mining cost)."
What are some challenges related to the operational aspects of this method?,"Filling complicates the production cycle, causing discontinuous production. The method also tends to be labor-intensive, requiring skilled miners and close supervision, and necessitates providing stope access for mechanized equipment."
What is a potential risk associated with the fill material used in this mining method?,The compressibility of the fill material poses a risk of ground settlement and instability.
What are some locations where copper mining takes place?,"Copper mining is mentioned in Magma, Arizona; Surda Mine, HCL, India; and Mt. Isa, Australia."
"Where is a significant gold mine located, according to this list?",The Homestake mine in South Dakota is listed as a location for gold mining.
In which Canadian province are nickel mines mentioned?,"Nickel mines are located in Sudbury, Ontario, Canada."
What is the location of a silver mine listed in the applications section?,"A silver mine is located in Star, Idaho (ID)."
"Besides the locations listed for other minerals, in which country does this slide list uranium mining?","The slide mentions uranium mining in India, specifically at UCIL."
