question,answer,explanation
"What is the primary resource that provides a container with its filesystem in Kubernetes?

A) The container image only
B) The container image combined with volumes
C) The Pod's persistent volume claim
D) The node's filesystem",B) The container image combined with volumes,"The correct answer is B). In Kubernetes, a container's filesystem is a combination of the container image and any volumes mounted into the container. The image provides the base filesystem, while volumes can add or override parts of this filesystem at runtime. Option A is incorrect because the image alone does not account for additional data or persistent storage. Option C is incorrect because a PersistentVolumeClaim provides persistent storage but is mounted as a volume, not the entire filesystem. Option D is incorrect because the container's filesystem is isolated and based on the image and volumes, not directly on the node's filesystem."
"What is the primary purpose of the RuntimeClass resource in Kubernetes?

A) To define pod security policies
B) To select container runtime configurations for Pods
C) To manage persistent storage
D) To control network policies",B) To select container runtime configurations for Pods,"The correct answer is B) To select container runtime configurations for Pods. RuntimeClass allows administrators to specify different runtime configurations for Pods, enabling performance and security trade-offs. Option A) is incorrect because RuntimeClass does not manage security policies directly. Option C) is incorrect as storage is managed via PersistentVolumes and StorageClasses, not RuntimeClass. Option D) is incorrect because network policies are handled separately with NetworkPolicy resources."
"Which field in a Pod spec is used to specify the RuntimeClass to be used?

A) runtime
B) runtimeHandler
C) runtimeClassName
D) runtimeProfile",C) runtimeClassName,"The correct answer is C) runtimeClassName. This field in the Pod spec explicitly specifies the name of the RuntimeClass resource to use for running the Pod. Option A) 'runtime' is incorrect as it is not a valid Pod spec field. Option B) 'runtimeHandler' is incorrect; it is a property within the CRI configuration, not the Pod spec. Option D) 'runtimeProfile' is incorrect because it is not a standard field in the Pod specification."
"What happens if a Pod specifies a runtimeClassName that does not exist or cannot be supported by the CRI handler?

A) The Pod runs with the default runtime
B) The Pod enters the Failed phase
C) The Pod is scheduled on any node regardless
D) The Pod is automatically created with a warning",B) The Pod enters the Failed phase,"The correct answer is B) The Pod enters the Failed phase. If the specified RuntimeClass does not exist or the handler cannot support it, the Pod cannot run and will be marked as Failed. Option A) is incorrect because the default runtime is used only if no runtimeClassName is specified. Option C) is incorrect because scheduling is prevented if the runtime support is unavailable, so the Pod cannot be scheduled. Option D) is incorrect because Kubernetes does not create Pods with warnings; it either runs successfully or fails."
"Which configuration files are used to set up container runtimes like containerd and CRI-O for RuntimeClass support?

A) /etc/kubelet/config.yaml
B) /etc/containerd/config.toml and /etc/crio/crio.conf
C) /etc/kube-proxy/config.yaml
D) /etc/kubelet/runtimes.yaml",B) /etc/containerd/config.toml and /etc/crio/crio.conf,"The correct answer is B) /etc/containerd/config.toml and /etc/crio/crio.conf. These files are used to configure the runtimes for containerd and CRI-O, respectively, including runtime handlers that RuntimeClass references. Option A) is incorrect as kubelet configuration files are not the primary place for configuring container runtimes. Option C) is incorrect because kube-proxy manages network proxying, not container runtimes. Option D) is incorrect; there is no standard 'runtimes.yaml' file in kubelet configuration."
"How does scheduling support ensure that Pods using a specific RuntimeClass run only on compatible nodes?

A) By setting a nodeSelector in the Pod spec
B) By specifying a runtimeClass.scheduling.nodeSelector in the RuntimeClass
C) By using taints and tolerations only
D) By configuring a dedicated node pool",B) By specifying a runtimeClass.scheduling.nodeSelector in the RuntimeClass,"The correct answer is B) By specifying a runtimeClass.scheduling.nodeSelector in the RuntimeClass. This field defines constraints so that only nodes matching the selector support the RuntimeClass, ensuring Pods run only on compatible nodes. Option A) is incorrect because nodeSelector in Pod spec is unrelated to RuntimeClass scheduling constraints. Option C) is incomplete; taints and tolerations are used for node admission, but the specific scheduling constraint is set via the nodeSelector in the RuntimeClass. Option D) is a common operational practice but not the direct mechanism described in the RuntimeClass scheduling feature."
"What is the purpose of the overhead field in a RuntimeClass?

A) To specify resource limits for Pods
B) To account for additional resource consumption by Pods utilizing this RuntimeClass
C) To restrict the RuntimeClass to specific nodes
D) To define network overhead for Pods",B) To account for additional resource consumption by Pods utilizing this RuntimeClass,"The correct answer is B) To account for additional resource consumption by Pods utilizing this RuntimeClass. The overhead field allows the scheduler to consider extra resources required for running Pods with specific runtime configurations, such as hardware virtualization. Option A) is incorrect because resource limits are set in container resource requests and limits, not in overhead. Option C) is incorrect; node restrictions are handled via labels and scheduling constraints, not overhead. Option D) is incorrect because overhead refers to compute resources, not network overhead."
"Which lifecycle hook is executed immediately after a container is created in Kubernetes?

A) PostStart
B) PreStop
C) Terminate
D) Init",A) PostStart,"The correct answer is A) PostStart. This hook runs immediately after a container is created, allowing setup tasks to be performed. Option B) PreStop is incorrect because it runs just before a container is terminated, not after creation. Option C) Terminate is not a specific lifecycle hook in Kubernetes. Option D) Init refers to init containers, which are a different concept used during pod startup, not a lifecycle hook."
"What is the primary purpose of the PreStop lifecycle hook in Kubernetes?

A) To initialize container environment variables
B) To run cleanup or save state tasks before container termination
C) To restart the container
D) To check container health periodically",B) To run cleanup or save state tasks before container termination,"The correct answer is B) To run cleanup or save state tasks before container termination. PreStop is invoked immediately before a container is terminated, allowing it to perform necessary cleanup. Option A) is incorrect because environment variables are set at container start, not during PreStop. Option C) is incorrect because PreStop does not restart containers; it executes before termination. Option D) is incorrect because health checks are managed by probes, not lifecycle hooks."
"In Kubernetes, which handler type executes a specific command inside the container during a lifecycle event?

A) HTTP
B) Exec
C) Sleep
D) StopSignal",B) Exec,"The correct answer is B) Exec. This handler type executes a specific command inside the container's process namespace during a lifecycle event, such as PostStart or PreStop. Option A) HTTP executes an HTTP request; it is not a command execution inside the container. Option C) Sleep pauses the container; it is a handler type but used to delay execution. Option D) StopSignal defines a signal sent to the container on stop, not a command execution."
"Which statement correctly describes the behavior of the PreStop hook if it hangs during execution?

A) The container will always be forcefully killed immediately.
B) The container will remain in the Terminating state until the hook completes or the terminationGracePeriodSeconds expires.
C) The container will skip the PreStop hook and continue to terminate.
D) The container will restart automatically.",B) The container will remain in the Terminating state until the hook completes or the terminationGracePeriodSeconds expires.,"The correct answer is B) The container remains in the Terminating state until the PreStop hook completes or the terminationGracePeriodSeconds expires. If the hook hangs, the container cannot fully terminate until the hook finishes or the timeout occurs. Option A) is incorrect because the container is not forcefully killed immediately if the hook hangs; it waits until timeout. Option C) is incorrect because the hook must complete before termination proceeds. Option D) is incorrect because hanging hooks do not cause the container to restart; they delay termination."
"You want to set a custom stop signal for a container that overrides the default SIGTERM. Which field should you specify in the container spec?

A) lifecycle
B) terminationMessagePath
C) stopSignal
D) stopSignal in container spec (via container's securityContext or specific configuration)",D) stopSignal in container spec (via container's securityContext or specific configuration),"The correct answer is D) stopSignal in container spec (via container's securityContext or specific configuration). Kubernetes allows setting a custom stop signal by configuring the container's securityContext or through specific image instructions, such as the STOPSIGNAL instruction in Dockerfile. Option A) lifecycle manages hooks, not stop signals. Option B) terminationMessagePath specifies a file for termination messages, not signals. Option C) stopSignal is not a direct field in Kubernetes container spec; it is set via securityContext or image configuration."
"Which Pod phase indicates that all containers in the Pod have terminated successfully and will not be restarted?

A) Pending
B) Running
C) Succeeded
D) Failed",C) Succeeded,"The correct answer is C) Succeeded. This phase signifies that all containers in the Pod have terminated with success, and the Pod will not be restarted. Option A) Pending means the Pod is accepted but not yet running. Option B) Running indicates at least one container is still active or starting. Option D) Failed indicates that all containers have terminated, but at least one did so with failure; thus, it's not the successful completion state."
"What command would you use to forcibly delete a Pod named 'my-pod' in the default namespace?

A) kubectl delete pod my-pod
B) kubectl delete pod my-pod --force
C) kubectl delete pod my-pod --grace-period=0 --force
D) kubectl delete pod my-pod --immediate",C) kubectl delete pod my-pod --grace-period=0 --force,"The correct answer is C) kubectl delete pod my-pod --grace-period=0 --force. This command forces immediate deletion of the Pod by setting the grace period to zero and using the --force flag, bypassing graceful termination. Option A) is a standard delete, which allows the Pod to terminate gracefully. Option B) alone does not force immediate deletion; it requires --grace-period=0. Option D) '--immediate' is deprecated and not used in current Kubernetes versions; the correct way is to specify '--grace-period=0'."
"Which of the following best describes the 'Pending' phase of a Pod?

A) The Pod has started running and is actively executing containers.
B) The Pod has been accepted but containers are not yet ready to run, including time waiting for image downloads.
C) All containers in the Pod have terminated successfully.
D) The Pod is in the process of being deleted.","B) The Pod has been accepted but containers are not yet ready to run, including time waiting for image downloads.","The correct answer is B) The Pod has been accepted but containers are not yet ready to run, including time waiting for image downloads. 'Pending' indicates that the Pod is accepted by the cluster but not yet in the 'Running' phase, often waiting for images to be pulled or scheduling. Option A) describes the 'Running' phase. Option C) corresponds to the 'Succeeded' phase, not Pending. Option D) relates to deletion, which is outside the Pod phases described."
"How can you check the current state and container statuses of a Pod named 'my-pod'?

A) kubectl get pod my-pod
B) kubectl describe pod my-pod
C) kubectl logs my-pod
D) kubectl status pod my-pod",B) kubectl describe pod my-pod,"The correct answer is B) kubectl describe pod my-pod. This command provides detailed information about the Pod, including the status of each container within it. Option A) gives a brief overview but does not show container states in detail. Option C) retrieves logs from the containers, not their current state. Option D) is not a valid 'kubectl' command; 'kubectl status' does not exist."
"Which container state indicates that a container is still in the process of starting, such as pulling images or applying secrets?

A) Running
B) Terminated
C) Waiting
D) Pending",C) Waiting,"The correct answer is C) Waiting. This state indicates that the container is still performing startup operations like pulling images or applying secrets before it can transition to Running. Option A) Running means the container is active and executing. Option B) Terminated indicates the container has stopped. Option D) Pending is a Pod phase, not a container state; within a container, the 'Waiting' state is used for startup delays."
"Describe the purpose of a 'controller' in Kubernetes and its relation to Pods.

A) To directly manage individual Pod lifecycle events.
B) To handle the creation, scaling, and management of Pods as disposable entities.
C) To replace the kubelet in managing container states.
D) To provide persistent storage for Pods.","B) To handle the creation, scaling, and management of Pods as disposable entities.","The correct answer is B) To handle the creation, scaling, and management of Pods as disposable entities. Controllers abstract the management of Pods, ensuring desired states are maintained, including scaling and self-healing. Option A) is incorrect because controllers manage Pods indirectly, not individual lifecycle events. Option C) is incorrect; the kubelet manages containers on nodes, not controllers. Option D) pertains to storage, which is handled by volume controllers, not the overarching controller managing Pods."
"What is the primary purpose of init containers in a Kubernetes Pod?

A) To run continuously alongside application containers
B) To run setup or initialization tasks before app containers start
C) To replace sidecar containers for lifecycle management
D) To handle load balancing between application containers",B) To run setup or initialization tasks before app containers start,"The correct answer is B) To run setup or initialization tasks before app containers start. Init containers are specialized containers that run to completion before any app containers are started, often used for setup tasks like waiting for services or configuring shared volumes. Option A) is incorrect because init containers do not run continuously; they run only during Pod initialization. Option C) is incorrect because init containers are not a replacement for sidecar containers; they serve different purposes. Option D) is incorrect because init containers are not involved in load balancing."
"Which of the following statements about init containers is true?

A) Init containers support livenessProbe and readinessProbe fields.
B) Init containers run in parallel with application containers.
C) Init containers must run to completion before application containers start.
D) Init containers can dynamically modify their resource requests during execution.",C) Init containers must run to completion before application containers start.,"The correct answer is C) Init containers must run to completion before application containers start. Init containers are designed to perform setup tasks sequentially and must succeed before app containers are initialized. Option A) is incorrect because init containers do not support livenessProbe or readinessProbe fields. Option B) is incorrect because init containers run sequentially, not in parallel. Option D) is incorrect because resource requests and limits are specified in the Pod spec; they are not dynamically modified during execution."
"You need to create a Pod with two init containers that wait for 'myservice' and 'mydb' to be available before starting the main app container. Which part of the Pod spec correctly defines the init containers?

A) containers: [...]
B) initContainers: [...]
C) sidecars: [...]
D) preContainers: [...]",B) initContainers: [...],"The correct answer is B) initContainers: [...]. This field in the Pod specification defines an array of init containers that run sequentially during Pod initialization. Option A) containers: [...] defines the main application containers, not init containers. Option C) sidecars: [...] is not a valid Kubernetes field; sidecar containers are just regular containers in the 'containers' array. Option D) preContainers: [...] is not a valid Kubernetes field."
"What happens if an init container fails during Pod startup and the Pod has a restartPolicy of 'Always'?

A) The init container is run again immediately, and the Pod remains in Pending state.
B) The init container is restarted repeatedly until it succeeds, and the Pod remains in Pending state.
C) The Pod proceeds to start app containers despite the init container failure.
D) The Pod is marked as Failed immediately and does not restart.","B) The init container is restarted repeatedly until it succeeds, and the Pod remains in Pending state.","The correct answer is B) The init container is restarted repeatedly until it succeeds, and the Pod remains in Pending state. Kubernetes will keep retrying the init container until it completes successfully if the restartPolicy allows for restarts (like 'Always'). Option A) is incorrect because the init container is retried, not just run once. Option C) is incorrect because app containers do not start until all init containers have successfully completed. Option D) is incorrect in this context; the Pod will not be marked as Failed solely due to init container failure if retries are allowed."
"Which command correctly creates a Pod with two init containers that wait for services 'myservice' and 'mydb' to be available?

A) kubectl run mypod --image=busybox --init-containers='wait-for-myservice,wait-for-mydb'
B) kubectl create -f pod-with-init-containers.yaml
C) kubectl apply -f - <<EOF
apiVersion: v1
kind: Pod
metadata:
  name: myapp-pod
spec:
  initContainers:
  - name: init-myservice
    image: busybox:1.28
    command: [""sh"", ""-c"", ""until nslookup myservice; do echo waiting for myservice; sleep 2; done""]
  - name: init-mydb
    image: busybox:1.28
    command: [""sh"", ""-c"", ""until nslookup mydb; do echo waiting for mydb; sleep 2; done""]
  containers:
  - name: myapp-container
    image: busybox:1.28
    command: [""sh"", ""-c"", ""echo The app is running! && sleep 3600""]
EOF
D) kubectl create pod myapp --init=wait-for-services","C) kubectl apply -f - <<EOF
apiVersion: v1
kind: Pod
metadata:
  name: myapp-pod
spec:
  initContainers:
  - name: init-myservice
    image: busybox:1.28
    command: [""sh"", ""-c"", ""until nslookup myservice; do echo waiting for myservice; sleep 2; done""]
  - name: init-mydb
    image: busybox:1.28
    command: [""sh"", ""-c"", ""until nslookup mydb; do echo waiting for mydb; sleep 2; done""]
  containers:
  - name: myapp-container
    image: busybox:1.28
    command: [""sh"", ""-c"", ""echo The app is running! && sleep 3600""]
EOF","The correct answer is C) which uses 'kubectl apply -f -' with a YAML manifest provided inline via a heredoc. This creates a Pod with specified initContainers that wait for 'myservice' and 'mydb' using nslookup. Option A) is invalid because 'kubectl run' does not support --init-containers directly. Option B) refers to creating from a YAML file, but the YAML content is not specified here. Option D) is invalid because 'kubectl create' does not have an '--init' flag and does not accept inline init container definitions."
"What is the primary purpose of a sidecar container in Kubernetes?

A) To run the main application logic
B) To provide additional services like logging or monitoring alongside the main container
C) To initialize the pod during startup
D) To replace the main application container in case of failure",B) To provide additional services like logging or monitoring alongside the main container,"The correct answer is B) To provide additional services like logging or monitoring alongside the main container. Sidecar containers run concurrently with the main application container within the same pod and extend its functionality without altering the primary application code. Option A is incorrect because sidecars do not run the main application logic. Option C is incorrect because init containers, not sidecars, handle initialization during startup. Option D is incorrect because sidecars do not replace the main container; they support it."
"Which statement accurately describes the lifecycle and termination order of sidecar containers in a Kubernetes pod?

A) They stop before the main application container, due to their role as supporting services.
B) They continue running after the main container has stopped, and are shut down in the reverse order of their appearance.
C) They are terminated simultaneously with the main application container.
D) They are only active during pod startup and are terminated once the main container is ready.","B) They continue running after the main container has stopped, and are shut down in the reverse order of their appearance.","The correct answer is B. Sidecar containers are designed to remain operational even after the main container stops, supporting ongoing processes or cleanup. During pod termination, they are shut down in the reverse order of their appearance, ensuring supporting services are terminated last. Option A is incorrect because sidecars do not stop before the main container; they often outlive it. Option C is wrong because they are not terminated simultaneously with the main container. Option D is incorrect because sidecars are active throughout the pod's lifecycle, not just during startup."
"Which feature gate must be enabled in Kubernetes to support restart policies for sidecar containers, and from which version is it enabled by default?

A) SidecarContainers, enabled by default since v1.29
B) RestartPolicy, enabled by default since v1.27
C) PodLifecycle, enabled by default since v1.30
D) SupportSidecars, enabled by default since v1.28","A) SidecarContainers, enabled by default since v1.29","The correct answer is A. The SidecarContainers feature gate must be enabled to support restart policies for sidecar containers, and it has been enabled by default since Kubernetes v1.29. Option B is incorrect because RestartPolicy is a core feature but not the specific feature gate for sidecars. Option C is incorrect because PodLifecycle is not a recognized feature gate related to sidecars. Option D is incorrect because SupportSidecars is not an actual feature gate name."
"Given the following pod spec snippet, what does the 'restartPolicy: Always' in the init container configuration imply?

spec:
  initContainers:
  - name: logshipper
    image: alpine:latest
    restartPolicy: Always
    command: [ 'sh', '-c', 'tail -F /opt/logs.txt' ]
    volumeMounts:
    - name: data
      mountPath: /opt","It means the init container 'logshipper' will be restarted automatically if it exits, and it will remain running during the pod's lifecycle.","In Kubernetes, setting restartPolicy: Always for an init container means it will be restarted if it terminates, and it can remain running during the pod's lifecycle, supporting persistent services like log shipping. Though init containers are usually designed to run once during startup, this configuration allows for their restart and continued operation as sidecars, effectively making them support ongoing processes. This is useful when using features like the SidecarContainers feature gate. Note: In typical Kubernetes configurations, init containers do not support restartPolicy: Always; this is a special case when using the feature gate. The other options are incorrect because they don't accurately describe the behavior of restartPolicy: Always in this context."
"You want to create a Kubernetes Deployment named 'myapp' with a main container running 'alpine:latest' and a sidecar container running 'busybox:latest'. Write the kubectl command to generate this deployment with 2 replicas.

A) kubectl create deployment myapp --image=alpine:latest --sidecar=busybox:latest --replicas=2
B) kubectl run myapp --image=alpine:latest --replicas=2 --sidecar=busybox:latest
C) kubectl apply -f - <<EOF
apiVersion: apps/v1
kind: Deployment
metadata:
  name: myapp
spec:
  replicas: 2
  selector:
    matchLabels:
      app: myapp
  template:
    metadata:
      labels:
        app: myapp
    spec:
      containers:
      - name: main
        image: alpine:latest
      - name: sidecar
        image: busybox:latest
EOF

D) kubectl create deployment myapp --image=alpine:latest --dry-run=client -o yaml | kubectl set image -f - --image=busybox:latest --name=sidecar --replicas=2","C) kubectl apply -f - <<EOF
apiVersion: apps/v1
kind: Deployment
metadata:
  name: myapp
spec:
  replicas: 2
  selector:
    matchLabels:
      app: myapp
  template:
    metadata:
      labels:
        app: myapp
    spec:
      containers:
      - name: main
        image: alpine:latest
      - name: sidecar
        image: busybox:latest
EOF","The correct answer is C. This command uses kubectl apply with inline YAML to create a Deployment named 'myapp' with 2 replicas, specifying both the main container and a sidecar container within the pod template. Option A is incorrect because 'kubectl create deployment' does not support adding multiple containers or sidecars directly via command flags. Option B is invalid because 'kubectl run' does not support multiple containers or sidecars in this manner. Option D is incorrect because it misuses 'kubectl set image' and does not correctly create a multi-container deployment; it is intended for updating images, not creating multi-container specs."
"Which of the following statements about ephemeral containers in Kubernetes is TRUE?

A) They can be added to a Pod after the Pod has been created.
B) They are suitable for building applications because they guarantee resource allocation.
C) They are created using the 'ephemeralcontainers' handler in the API and cannot be added via 'kubectl edit'.
D) They automatically restart if they crash.",C) They are created using the 'ephemeralcontainers' handler in the API and cannot be added via 'kubectl edit'.,"The correct answer is C. Ephemeral containers are created through the 'ephemeralcontainers' handler in the Kubernetes API, not by editing the pod.spec directly, and cannot be added via 'kubectl edit'. Option A is incorrect because ephemeral containers cannot be added after Pod creation; they are inserted via the API. Option B is incorrect because ephemeral containers lack resource guarantees and are not suitable for building applications. Option D is incorrect because ephemeral containers are never restarted automatically; they are meant for temporary troubleshooting."
"Which fields are disallowed in ephemeral containers compared to regular containers?

A) Ports, livenessProbe, resources
B) Image, command, env
C) VolumeMounts, securityContext
D) Name, imagePullPolicy","A) Ports, livenessProbe, resources","The correct answer is A. Ephemeral containers do not support fields such as ports, livenessProbe, and resources due to their transient and troubleshooting-focused nature. Option B is incorrect because image, command, and env are allowed in ephemeral containers. Option C is incorrect because volumeMounts and securityContext are generally allowed unless explicitly disallowed, but the question specifically targets known disallowed fields. Option D is incorrect because name and imagePullPolicy are valid and allowed fields for ephemeral containers."
"What is the primary use case for ephemeral containers in Kubernetes?

A) To run production application containers with guaranteed resources.
B) To perform interactive troubleshooting on existing Pods.
C) To replace containers in a running Pod automatically.
D) To create static Pods with persistent storage.",B) To perform interactive troubleshooting on existing Pods.,"The correct answer is B. Ephemeral containers are designed specifically for troubleshooting purposes, allowing users to run temporary containers in existing Pods to inspect and debug. Option A is incorrect because ephemeral containers are not suitable for production workloads or guaranteed resource allocations. Option C is incorrect because ephemeral containers cannot replace or modify existing containers, only added temporarily for troubleshooting. Option D is incorrect because ephemeral containers are unrelated to static Pods or persistent storage."
"Which command would you use to create an ephemeral container named 'debugger' in an existing Pod called 'my-pod'?

A) kubectl debug my-pod --image=busybox --target=debugger
B) kubectl create ephemeral my-pod --name=debugger --image=busybox
C) kubectl run ephemeral --image=busybox --ephemeral --name=debugger
D) kubectl exec -it my-pod --ephemeral --name=debugger --image=busybox",A) kubectl debug my-pod --image=busybox --target=debugger,"The correct answer is A. The 'kubectl debug' command is used to add ephemeral containers for troubleshooting. The '--image=busybox' specifies the container image, and '--target=debugger' indicates the ephemeral container's name. Option B is incorrect because there's no 'kubectl create ephemeral' command. Option C is incorrect because 'kubectl run' does not support creating ephemeral containers; it is used for creating regular pods. Option D is incorrect because 'kubectl exec' attaches to existing containers, not creating ephemeral ones."
"Why are ephemeral containers not supported in static Pods?

A) Because static Pods do not support any form of debugging.
B) Because static Pods are managed directly by the kubelet and do not support the API handler used for ephemeral containers.
C) Because ephemeral containers require persistent storage, which static Pods lack.
D) Because ephemeral containers automatically restart, which static Pods prevent.",B) Because static Pods are managed directly by the kubelet and do not support the API handler used for ephemeral containers.,"The correct answer is B. Static Pods are managed directly by the kubelet and do not go through the API server, which means they do not support features like ephemeral containers that are created via the 'ephemeralcontainers' API handler. Option A is incorrect because static Pods can be debugged in other ways, but ephemeral containers are not supported. Option C is incorrect because ephemeral containers do not require persistent storage; the issue is API support. Option D is incorrect because static Pods do not inherently prevent restarts, but that is unrelated to ephemeral container support."
"Which QoS class is assigned to a Pod if every Container in the Pod has equal resource requests and limits for both CPU and memory?

A) BestEffort
B) Burstable
C) Guaranteed
D) Default",C) Guaranteed,"The correct answer is C) Guaranteed. This QoS class is assigned when every Container in the Pod has both resource requests and limits set, and the values for requests and limits are equal for each resource. Option A) BestEffort is incorrect because it applies when no resource requests or limits are set. Option B) Burstable is incorrect because it applies when some containers have requests or limits, but not all, or when limits are not equal to requests. Option D) Default is incorrect because Kubernetes explicitly classifies Pods into these three QoS classes, not a default class."
"Which QoS class will Kubernetes evict first when a Node experiences resource pressure?

A) Guaranteed
B) Burstable
C) BestEffort
D) All are evicted equally",C) BestEffort,"The correct answer is C) BestEffort. When a node faces resource pressure, Kubernetes first evicts BestEffort Pods, which have no resource requests or limits set, making them the least prioritized. Option A) Guaranteed Pods are the least likely to be evicted because they have the strictest resource guarantees. Option B) Burstable Pods are evicted after BestEffort Pods but before Guaranteed Pods. Option D) is incorrect because eviction order is based on QoS class priority."
"Create a Pod named 'test-pod' with a memory request of 512Mi and a memory limit of 512Mi, and CPU request of 0.5 and limit of 0.5 using a YAML manifest.","kubectl apply -f - <<EOF
apiVersion: v1
kind: Pod
metadata:
  name: test-pod
spec:
  containers:
  - name: test-container
    image: nginx
    resources:
      requests:
        memory: 512Mi
        cpu: 0.5
      limits:
        memory: 512Mi
        cpu: 0.5
EOF","This command applies a YAML manifest directly from stdin, creating a Pod named 'test-pod' with specified resource requests and limits. The 'resources' section defines both requests and limits for memory and CPU, ensuring the Pod is classified as Guaranteed QoS. Using 'kubectl apply -f -' allows for inline YAML definitions. The manifest specifies the container image and resource constraints precisely."
"Which QoS class is assigned to a Pod if at least one container has a resource request or limit, but not all containers have both requests and limits set?

A) Guaranteed
B) Burstable
C) BestEffort
D) Priority",B) Burstable,"The correct answer is B) Burstable. This QoS class is assigned when at least one container has resource requests or limits, but not all containers meet the criteria for Guaranteed (which requires all containers to have equal requests and limits). Option A) Guaranteed is incorrect because that requires all containers to have equal requests and limits. Option C) BestEffort applies when no containers specify resource requests or limits. Option D) Priority is unrelated; it pertains to Pod priority class, not QoS."
"What is the primary purpose of user namespaces in Kubernetes?

A) To isolate network traffic between pods
B) To map users inside containers to different users on the host
C) To manage resource quotas for pods
D) To enable auto-scaling of pods based on load",B) To map users inside containers to different users on the host,"The correct answer is B) To map users inside containers to different users on the host. User namespaces in Linux allow processes running inside containers to have different UID/GID mappings, which enhances security by isolating container users from host users. Option A is incorrect because network isolation is handled by network namespaces, not user namespaces. Option C is incorrect because resource quotas are managed through Kubernetes resource quota objects, not user namespaces. Option D is incorrect as auto-scaling is related to Horizontal Pod Autoscaler, not user namespaces."
"Which of the following filesystems support idmap mounts required for user namespaces in Linux?

A) ext3
B) btrfs
C) NTFS
D) FAT32",B) btrfs,"The correct answer is B) btrfs. According to the Kubernetes documentation, filesystems like btrfs, ext4, xfs, fat, tmpfs, and overlayfs support idmap mounts in Linux 6.3 and above, which are necessary for user namespace functionality. Option A) ext3 is incorrect because it does not support idmap mounts in Linux 6.3. Option C) NTFS and D) FAT32 are incorrect because these filesystems are not supported for idmap mounts in Linux for user namespaces."
"Which container runtime versions support user namespaces in Kubernetes?

A) runc v1.2 or greater
B) Docker Engine v17.03 and later
C) containerd v1.0
D) cri-o v1.20",A) runc v1.2 or greater,"The correct answer is A) runc v1.2 or greater. The documentation states that runc versions 1.2+ support user namespaces, with recommended versions being 1.13+. Option B) Docker Engine v17.03 is incorrect because Docker's support for user namespaces is not specified here, and the focus is on OCI runtimes. Option C) containerd v1.0 is incorrect because the support starts from version 2.0 as per the documentation. Option D) cri-o v1.20 is incorrect because support begins from version 1.25."
"How can a Kubernetes user enable user namespaces for a specific pod?

A) Set the field `pod.spec.enableUserNamespaces` to true
B) Set the field `pod.spec.hostUsers` to false
C) Annotate the pod with `user-namespace=true`
D) Use the `--enable-user-namespaces` flag during pod creation",B) Set the field `pod.spec.hostUsers` to false,"The correct answer is B) Set the field `pod.spec.hostUsers` to false. This opt-in setting allows the pod to use user namespaces, mapping container users to different host users. Option A) is incorrect because `enableUserNamespaces` is not a valid field. Option C) is incorrect because there's no such annotation required for enabling user namespaces. Option D) is incorrect because enabling user namespaces is controlled via pod spec fields, not runtime flags during creation."
"What is the default UID/GID range used when user namespaces are enabled in Kubernetes?

A) 0-65535
B) 10000-20000
C) 0-1024
D) 65536-131071",A) 0-65535,"The correct answer is A) 0-65535. By default, when user namespaces are enabled, the valid UID/GID range is set to 0-65535, which allows mapping of container user IDs to this range on the host. Option B) 10000-20000 is incorrect because the default range is not set to that. Option C) 0-1024 is incorrect because it only covers a small subset of UIDs/GIDs. Option D) 65536-131071 is incorrect because this is outside the default range; the range starts at 0."
"Which command would you use to configure a kubelet to support custom UID/GID ranges for user namespaces?

A) kubelet --enable-userns --uid-range=100000-200000
B) kubelet --feature-gates=UserNamespaces=true
C) kubelet --kubeconfig=path/to/config
D) kubelet --register-node=true",A) kubelet --enable-userns --uid-range=100000-200000,"The correct answer is A) kubelet --enable-userns --uid-range=100000-200000. This command enables user namespaces on the kubelet and specifies a custom UID/GID range for pod mappings. Option B) is incorrect because `--feature-gates` does not control user namespace support specifically. Option C) `--kubeconfig` is used for specifying the kubeconfig file, not for enabling user namespaces. Option D) `--register-node=true` is for node registration, not user namespace configuration."
"Which of the following Pod fields can be exposed as environment variables using the downward API?

A) metadata.name
B) spec.nodeName
C) status.hostIP
D) metadata.labels",A) metadata.name,"The correct answer is A) metadata.name. This field represents the pod's name and can be exposed as an environment variable via the downward API. Option B) spec.nodeName is not available as an environment variable; it is only accessible via a downward API volume. Option C) status.hostIP is available as an environment variable but not via a downward API volume, so it is incorrect in this context. Option D) metadata.labels can be exposed in a downward API volume but not as environment variables directly."
"Which command correctly creates a downward API volume that exposes all of the pod's labels in a formatted manner?

A) kubectl create volume --name=labels --downward-api --items=metadata.labels
B) kubectl run mypod --image=nginx --overrides='{""spec"":{""volumes"":[{""name"":""labels"",""downwardAPI"":{""items"":[{""path"":""labels"",""fieldRef"":{""fieldPath"":""metadata.labels""}}]}}]}}'
C) kubectl apply -f -
D) No such command; this requires manifest YAML configuration",D) No such command; this requires manifest YAML configuration,"The correct answer is D) No such command; exposing all labels via downward API volume requires defining a volume in the pod's manifest YAML with the downwardAPI volume source and specifying the items. Options A and B are incorrect because 'kubectl create volume' or 'kubectl run' do not support direct creation of downward API volumes with such specifications. Option C) 'kubectl apply -f -' is incomplete without providing a manifest YAML, which is necessary for configuring downward API volumes."
