question,answer
"What is the purpose of a Headless Service in the context of a StatefulSet?

A) To provide a stable IP address for the StatefulSet.
B) To allow clients to connect directly to individual Pods using DNS names.
 C) To manage the persistent volumes of the StatefulSet.
D) To handle the rolling updates of the StatefulSet.",B) To allow clients to connect directly to individual Pods using DNS names.
"Create a StatefulSet named 'my-statefulset' with 2 replicas, using the image 'nginx:latest', and a PersistentVolumeClaim named 'my-pvc' with a storage request of 1Gi.","kubectl create -f - <<EOF
apiVersion: apps/v1
kind: StatefulSet
metadata:
  name: my-statefulset
spec:
  replicas: 2
  serviceName: ""my-statefulset""
  selector:
    matchLabels:
      app: nginx
  template:
    metadata:
      labels:
        app: nginx
    spec:
      containers:
      - name: nginx
        image: nginx:latest
        ports:
        - containerPort: 80
      volumeMounts:
      - name: my-pvc
        mountPath: /var/www/html
  volumeClaimTemplates:
  - metadata:
      name: my-pvc
    spec:
      accessModes: [ ""ReadWriteOnce"" ]
      resources:
        requests:
          storage: 1Gi
EOF"
"What happens to the PersistentVolumes associated with a StatefulSet when the StatefulSet is deleted?

A) They are automatically deleted.
B) They remain and must be manually deleted.
C) They are deleted only if the StatefulSet's `terminationGracePeriodSeconds` is set to 0.
D) They are automatically deleted only if a specific annotation is set.",B) They remain and must be manually deleted.
"A StatefulSet's pod hostname follows what pattern?

A)  `$(statefulset-name).$(namespace).svc.cluster.local`
B)  `$(statefulset-name)-$(ordinal)`
 C) `$(service-name)-$(ordinal).$(namespace).svc.cluster.local`
D) `$(ordinal).$(statefulset-name).$(namespace).svc.cluster.local`",C) `$(service-name)-$(ordinal).$(namespace).svc.cluster.local`
"What is the primary purpose of a DaemonSet in Kubernetes?
A) To manage stateful applications across multiple nodes.
B) To ensure a single Pod runs on every node (or a subset) in a cluster.
C) To schedule Pods based on resource availability across nodes.
D) To create and manage replicated deployments.",B) To ensure a single Pod runs on every node (or a subset) in a cluster.
"A DaemonSet's `spec.selector` cannot be mutated after creation. What is the primary reason for this restriction?
A) To improve performance by avoiding unnecessary updates.
B) To prevent unintended orphaning of Pods and user confusion.
C) To enforce immutability for security reasons.
D) To simplify the controller's logic.",B) To prevent unintended orphaning of Pods and user confusion.
"Create a DaemonSet named `my-daemon` that runs the image `busybox` on all nodes, with a label `app: my-daemon`.  The container should have a read-only root filesystem.","kubectl create daemonset my-daemon --image=busybox -l app=my-daemon --security-context=""readOnlyRootFilesystem: true"""
"Which toleration automatically added by the DaemonSet controller allows Pods to run on nodes marked as `unschedulable`?
A) `node.kubernetes.io/not-ready:NoExecute`
B) `node.kubernetes.io/unreachable:NoExecute`
C) `node.kubernetes.io/unschedulable:NoSchedule`
D) `node.kubernetes.io/memory-pressure:NoSchedule`",C) `node.kubernetes.io/unschedulable:NoSchedule`
"What is the effect of setting `spec.template.spec.priorityClassName` in a DaemonSet?
A) It determines the scheduling priority of the Pods.
B) It sets the resource limits for the Pods.
C) It specifies the namespace for the Pods.
D) It defines the container image for the Pods.",A) It determines the scheduling priority of the Pods.
You need to create a DaemonSet that only runs on nodes with the label `environment: production`.  Write the kubectl command to create a DaemonSet named `prod-daemon` using the image `my-image:latest` and targeting nodes with the specified label.,kubectl create daemonset prod-daemon -l app=prod-daemon --image=my-image:latest --node-selector=environment=production
"A Kubernetes Job is designed to run:
A) Continuously until terminated.
B) Once, retrying failures until a specified number of successful completions.
C) On a recurring schedule defined by a Cron expression.
D) Only when a specific event triggers it.","B) Once, retrying failures until a specified number of successful completions."
"What is the purpose of the `backoffLimit` field in a Kubernetes Job specification?
A) It determines the maximum number of pods that can run concurrently.
B) It specifies the maximum number of times the Job will retry failed Pods.
C) It defines the time interval between consecutive pod restarts.
D) It sets the scheduling priority of the Job.",B) It specifies the maximum number of times the Job will retry failed Pods.
Create a Kubernetes Job named 'my-job' that runs the image 'busybox' with the command 'sleep 60' and retries failed pods up to 3 times.  The job should complete successfully after one pod succeeds.,"kubectl create job my-job -n default --image=busybox --command=""sleep 60"" --backoffLimit=3 --completions=1"
"Which command will display the logs of all pods associated with a Job named 'pi' in a Kubernetes cluster?
A) `kubectl logs pi`
B) `kubectl logs job/pi`
C) `kubectl logs jobs/pi`
D) `kubectl logs pods --selector=batch.kubernetes.io/job-name=pi`",D) `kubectl logs pods --selector=batch.kubernetes.io/job-name=pi`
"You want to run a Job that processes a large dataset, splitting the work across multiple pods.  What Kubernetes Job feature will enable this?
A) `backoffLimit`
B) `completions`
C) `parallelism`
D) `restartPolicy`",C) `parallelism`
"What happens when a Kubernetes Job is suspended?
A) Its running Pods continue to execute until completion.
B) Its active Pods are deleted, and new Pods are not created until it is resumed.
C) Its Pods are paused, but continue to consume resources.
D) Nothing; the Job continues as before.","B) Its active Pods are deleted, and new Pods are not created until it is resumed."
"Which Kubernetes field is used to specify the time-to-live (TTL) for a finished Job, enabling automatic cleanup?

A) .spec.ttlSecondsAfterRunning
B) .spec.ttlSecondsAfterFinished
C) .metadata.ttlSecondsAfterCompletion
D) .status.ttlSecondsAfterFailure",B) .spec.ttlSecondsAfterFinished
A Job has completed successfully.  You want it removed after 300 seconds.  What kubectl command will modify the existing Job named 'my-job' to achieve this?,"kubectl patch job my-job -p '{""spec"":{""ttlSecondsAfterFinished"":300}}'"
"What happens when the TTL-after-finished period for a Job expires?

A) The Job's Pods are immediately terminated.
B) The Job object is deleted, cascading to dependent resources.
C) The Job enters a 'Terminating' state and waits for manual deletion.
D) The Job's status changes to 'Failed' regardless of its previous status.","B) The Job object is deleted, cascading to dependent resources."
"You want to create a Job that automatically cleans up after 6 hours (21600 seconds).  Which command below correctly creates this Job with the specified TTL?

A) kubectl create job my-job --image=busybox --command=""sh"",""-c"",""echo hello"" --ttlSecondsAfterFinished=21600
B) kubectl create job my-job --image=busybox --command=""sh"",""-c"",""echo hello"" --ttl-seconds-after-finished=21600
C) kubectl create job my-job --image=busybox --command=""sh"",""-c"",""echo hello"" --ttlSecondsAfterFinished=6
D) kubectl create job my-job --image=busybox --command=""sh"",""-c"",""echo hello""","A) kubectl create job my-job --image=busybox --command=""sh"",""-c"",""echo hello"" --ttlSecondsAfterFinished=21600"
"What is a potential risk associated with using the TTL-after-finished controller?

A) Increased resource consumption.
B) Potential data loss if the Job's Pods are deleted prematurely.
C) Sensitivity to time skew within the Kubernetes cluster.
D) Increased API server load.",C) Sensitivity to time skew within the Kubernetes cluster.
"What is the maximum length of a CronJob name, considering the automatic 11-character appendage by the CronJob controller and the 63-character limit for Job names?

A) 52 characters
B) 63 characters
C) 74 characters
D) There's no limit on CronJob name length",A) 52 characters
"A CronJob is configured with `concurrencyPolicy: Forbid`.  A scheduled Job execution starts at 10:00 AM.  At 10:05 AM, the scheduled Job is still running. A subsequent scheduled Job execution is due at 10:10 AM. What happens?

A) The 10:10 AM job execution is started concurrently.
B) The 10:10 AM job execution is started after the 10:00 AM job finishes.

C) The 10:10 AM job execution is skipped, and the next job execution is considered.
D) The 10:00 AM job is terminated, and the 10:10 AM job execution is started immediately.","C) The 10:10 AM job execution is skipped, and the next job execution is considered."
Create a CronJob named `backup-db` that runs a job every day at 3 AM using the `busybox:latest` image to execute the command `date > /tmp/backup.log`.,"kubectl create cronjob backup-db --schedule=""0 3 * * *"" --image=busybox:latest --command=""/bin/sh"",""-c"",""date > /tmp/backup.log"""
"What does setting `.spec.suspend: true` in a CronJob do?

A) Immediately stops all currently running Jobs associated with the CronJob.
B) Prevents future Job executions from starting, but does not affect already running Jobs.

C) Deletes all historical Jobs associated with the CronJob.
D) Changes the CronJob schedule to never run.","B) Prevents future Job executions from starting, but does not affect already running Jobs."
"What is the purpose of the `.spec.startingDeadlineSeconds` field in a CronJob specification?

A) Defines the maximum runtime of each Job.
B) Sets the time a Job can run before it's preempted.

C) Specifies a deadline for starting a missed Job execution; exceeding this leads to the Job being skipped.
D) Sets the interval between successive Job executions.",C) Specifies a deadline for starting a missed Job execution; exceeding this leads to the Job being skipped.
"Modify the CronJob 'hello' (from the example) to run every other hour, using the Vixie cron step value syntax.  Assume the existing CronJob already exists.","kubectl patch cronjob hello -p '{""spec"":{""schedule"":""0 */2 * * *""}}'"
"What is the primary purpose of a ReplicationController in Kubernetes?
A) To manage stateful applications
B) To ensure a specified number of pod replicas are running
C) To schedule pods across nodes based on resource availability
D) To manage persistent volumes",B) To ensure a specified number of pod replicas are running
What command would you use to delete a ReplicationController named 'nginx' and its associated pods?,kubectl delete rc nginx
"A ReplicationController's `.spec.selector` field is used to:
A) Define the resource limits for the pods it manages
B) Specify the desired number of replicas
C) Identify pods to manage based on labels
D) Configure the restart policy for the pods",C) Identify pods to manage based on labels
Create a ReplicationController named 'my-rc' that runs two instances of a pod using the image 'my-image:latest' and with the label 'app: my-app'.,kubectl create rc my-rc --image=my-image:latest --replicas=2 --labels=app=my-app
"What happens if the `.spec.selector` and `.spec.template.metadata.labels` do not match in a ReplicationController definition?
A) The ReplicationController is created successfully, but it won't manage any pods.
B) The ReplicationController is created successfully, but it will only manage pods created by other controllers.
C) The API rejects the ReplicationController creation.
D) The ReplicationController is created but will ignore the .spec.selector",C) The API rejects the ReplicationController creation.
You need to delete a ReplicationController named 'old-rc' without deleting its pods. Which kubectl option should you use?,kubectl delete rc old-rc --cascade=orphan
"What is the primary difference between Horizontal Pod Autoscaler (HPA) and Vertical Pod Autoscaler (VPA)?
A) HPA scales the number of Pods; VPA scales the resources of individual Pods.
B) HPA scales resources of individual Pods; VPA scales the number of Pods.
C) Both scale the number of Pods, but HPA uses CPU utilization, while VPA uses memory utilization.
D) Both scale the resources of individual Pods, but HPA is built-in, while VPA is a separate project.",A) HPA scales the number of Pods; VPA scales the resources of individual Pods.
Create a Horizontal Pod Autoscaler (HPA) named 'my-hpa' that scales a Deployment named 'my-deployment' between 1 and 5 replicas based on CPU utilization at 80%.,kubectl autoscale deployment my-deployment --cpu-percent=80 --min=1 --max=5 --name=my-hpa
"Which Kubernetes component is responsible for automatically scaling the number of replicas in a Deployment based on resource utilization?
A) kube-scheduler
B) kube-proxy
C) Horizontal Pod Autoscaler (HPA)
D) Vertical Pod Autoscaler (VPA)",C) Horizontal Pod Autoscaler (HPA)
"What is the purpose of the Cluster Proportional Autoscaler (CPA)?
A) To scale pods based on events.
B) To scale the number of pods proportionally to the size of the cluster.
C) To scale resources of pods based on schedules.
D) To scale nodes in the cluster based on resource utilization.",B) To scale the number of pods proportionally to the size of the cluster.
"Which autoscaling mechanism is best suited for scaling based on the number of messages in a queue?
A) Horizontal Pod Autoscaler (HPA)
B) Vertical Pod Autoscaler (VPA)
C) Kubernetes Event-driven Autoscaler (KEDA)
D) Cluster Proportional Autoscaler (CPA)",C) Kubernetes Event-driven Autoscaler (KEDA)
"In the context of Vertical Pod Autoscaler (VPA), what does the 'Recreate' mode do?
A)  Adjusts resources in-place without restarting pods.
B) Assigns resource requests only upon pod creation.
 C)  Does not automatically change resource requirements; only provides recommendations.
D) Assigns resource requests on pod creation and updates them on existing pods by evicting and recreating them when necessary.",D) Assigns resource requests on pod creation and updates them on existing pods by evicting and recreating them when necessary.
"When applying multiple Kubernetes manifests using `kubectl apply -f`, what is the best practice regarding the order of resources defined in a single YAML file, and why?

A) It doesn't matter; Kubernetes automatically resolves dependencies.
B) Services should be defined before Deployments to ensure pods can be scheduled correctly.
C) Deployments should be defined before Services to allow the Deployment to create the pods first.
D) ConfigMaps should always be defined first to ensure other resources can access them.",B) Services should be defined before Deployments to ensure pods can be scheduled correctly.
"You have a directory containing multiple YAML files representing different Kubernetes resources.  What command will apply all the resources recursively, including those in subdirectories?

A) `kubectl apply -f .`
B) `kubectl apply -f --recursive`
C) `kubectl apply -f . -r`
D) `kubectl apply -f . --recursive -R`",D) `kubectl apply -f . --recursive -R`
"What command deletes all Deployments and Services with the label `app=nginx`?

A) `kubectl delete deployments,services nginx`
B) `kubectl delete -l app=nginx`
C) `kubectl delete deployments,services -l app=nginx`
D) `kubectl delete -f deployments,services -l app=nginx`","C) `kubectl delete deployments,services -l app=nginx`"
"You need to update a Deployment's image to `nginx:latest`.  What kubectl command will modify the image for the containers within the deployment named `my-nginx` without creating a new Deployment?

A) `kubectl create deployment my-nginx --image=nginx:latest`
B) `kubectl set image deployment/my-nginx nginx=nginx:latest`
C) `kubectl patch deployment my-nginx -p '{""spec"":{""template"":{""spec"":{""containers"":[{""image"":""nginx:latest""}]}}}}'`
D) `kubectl replace deployment/my-nginx --image=nginx:latest`",B) `kubectl set image deployment/my-nginx nginx=nginx:latest`
Create a Service of type LoadBalancer named 'my-nginx-svc' that targets pods with the label `app: nginx` and exposes port 80.,kubectl create service loadbalancer my-nginx-svc --labels app=nginx --ports 80=80 --selector app=nginx
Delete all resources defined in the file `nginx-deployment.yaml`,kubectl delete -f nginx-deployment.yaml
"What is the primary purpose of a Kubernetes Service?
A) To manage persistent storage for Pods.
B) To expose a set of Pods as a single endpoint.
C) To schedule Pods across nodes.
D) To manage the lifecycle of Deployments.",B) To expose a set of Pods as a single endpoint.
"Create a Kubernetes Service named 'my-web-service' of type LoadBalancer that exposes port 80 of Pods with the label 'app: webapp' to the external network, using the default target port 80.","kubectl create service loadbalancer my-web-service --selector=""app=webapp"" --port=80"
"Which Kubernetes object is used to define how a Service should route traffic to its backend Pods?
A) Deployment
B) Pod
C) EndpointSlice
D) ConfigMap",C) EndpointSlice
"A Service has no selector defined. How are the endpoints for this Service configured?
A) Automatically generated by the kube-controller-manager based on Pod labels.
B) Manually configured using EndpointSlice objects.
C) Inherited from the associated Deployment's selector.
D) Defined in the Service's 'ports' section.",B) Manually configured using EndpointSlice objects.
"What is the purpose of the `targetPort` field in a Kubernetes Service definition?
A) The port the Service listens on.
B) The port the Pods listen on that the Service forwards traffic to.
C) The external port exposed by the Service.
D) The port number used for inter-pod communication.",B) The port the Pods listen on that the Service forwards traffic to.
Create an EndpointSlice named 'my-external-service-endpoints' for a service named 'my-external-service' that exposes port 8080 on the IP address 192.168.1.100.  Assume the service port name is 'http'.,kubectl create endpointslice my-external-service-endpoints --port=8080 --address=192.168.1.100 --service=my-external-service --target-port=http
"What is the primary function of an Ingress resource in Kubernetes?

A) Expose internal services to external clients via HTTP(S).
B) Manage communication between Pods within a namespace.

C) Schedule Pods across nodes in a cluster.
D) Store persistent volumes for applications.",A) Expose internal services to external clients via HTTP(S).
"Which of the following is NOT a valid pathType for an Ingress path?

A) ImplementationSpecific
B) Exact
C) Prefix
D) Wildcard",D) Wildcard
"Create an Ingress resource named 'my-ingress' that routes traffic to a service named 'backend-service' on port 80, using the path '/app'. Use the 'nginx' IngressClass.","kubectl create ingress my-ingress --from-literal=nginx.ingress.kubernetes.io/rewrite-target=/ --ingress-class=nginx -f - <<EOF
apiVersion: networking.k8s.io/v1
kind: Ingress
metadata:
  name: my-ingress
spec:
  rules:
  - http:
      paths:
      - path: /app
        pathType: Prefix
        backend:
          service:
            name: backend-service
            port:
              number: 80
EOF"
"What component is primarily responsible for fulfilling the rules defined in an Ingress resource?

A) kube-apiserver
B) kube-scheduler
C) kube-proxy
D) Ingress controller",D) Ingress controller
"An Ingress resource specifies a `defaultBackend`.  When is this backend used?

A) Only when no other rules are defined in the Ingress.
B) When a request matches a rule but the service is unavailable.

C) When a request does not match any rule defined in the Ingress.
D) Always, as a fallback for all requests.",C) When a request does not match any rule defined in the Ingress.
"You have an Ingress with a rule matching host 'example.com' and path '/'.  A request comes in with host 'example.com' and path '/about'.  Assuming no other rules are defined, what happens if the Ingress has no `defaultBackend` specified?

A) The request is dropped.
B) The request is forwarded to a default backend defined by the Ingress controller.

C) The request results in an error.
D) The request is forwarded to the backend specified for the path '/'.",B) The request is forwarded to a default backend defined by the Ingress controller.
"Which statement about Ingress controllers in Kubernetes is TRUE?

A) Ingress controllers are automatically started with the kube-controller-manager.
B) Kubernetes requires only one Ingress controller to function.
C) Ingress controllers are responsible for routing external traffic to services within the cluster.
D) An Ingress resource will function without an Ingress controller running in the cluster.",C) Ingress controllers are responsible for routing external traffic to services within the cluster.
Create an Ingress resource named 'my-ingress' that routes traffic to a service named 'my-service' on path '/'.  Assume an IngressClass named 'nginx'.,"kubectl create ingress my-ingress --ingress-class=nginx -f - <<EOF
spec:
  rules:
  - http:
      paths:
      - path: /
        pathType: Prefix
        backend:
          service:
            name: my-service
            port:
              number: 80
EOF"
"You have multiple Ingress controllers deployed in your Kubernetes cluster. How do you specify which Ingress controller should handle a particular Ingress resource?

A) By using annotations on the Ingress resource.
B) By specifying the Ingress controller name in the service definition.
C) By using the `ingressClassName` field in the Ingress resource specification.
D) By setting environment variables on the Ingress controller Pods.",C) By using the `ingressClassName` field in the Ingress resource specification.
"Which of the following is NOT a Kubernetes-supported Ingress controller mentioned in the provided documentation?

A) NGINX Ingress Controller
B) HAProxy Ingress
C) Traefik Ingress Controller
D) Istio Ingress",D) Istio Ingress
"Your cluster has two IngressClasses: 'nginx' and 'traefik'. 'nginx' is marked as the default.  You create an Ingress resource without specifying an `ingressClassName`. Which Ingress controller will handle this Ingress resource?

A) traefik
B) nginx
C) Both nginx and traefik
D) Neither, the Ingress will fail to be deployed.",B) nginx
Create an IngressClass named 'my-ingress-class' and mark it as the default IngressClass for the cluster.,"kubectl create ingressclass my-ingress-class --annotations=""ingressclass.kubernetes.io/is-default-class=true"""
"Which Gateway API resource defines a set of gateways with common configuration and is managed by a controller?
A) Gateway
B) HTTPRoute
C) GatewayClass
D) Listener",C) GatewayClass
Create a GatewayClass named 'my-gateway-class' that uses the controller 'mycontroller.io/gateway-controller'.,"kubectl apply -f - <<EOF
apiVersion: gateway.networking.k8s.io/v1
kind: GatewayClass
metadata:
  name: my-gateway-class
spec:
  controllerName: mycontroller.io/gateway-controller
EOF"
"In Gateway API, which resource defines HTTP-specific rules for mapping traffic from a Gateway listener to backend endpoints?
A) GatewayClass
B) Gateway
C) HTTPRoute
D) Service",C) HTTPRoute
"Create an HTTPRoute named 'my-httproute' that routes traffic to the service 'backend-service' on port 80, matching requests to 'example.com' with path prefix '/api'.","kubectl apply -f - <<EOF
apiVersion: gateway.networking.k8s.io/v1
kind: HTTPRoute
metadata:
  name: my-httproute
spec:
  parentRefs:
  - name: my-gateway
  hostnames:
  - example.com
  rules:
  - matches:
    - path:
        type: PathPrefix
        value: /api
    backendRefs:
    - name: backend-service
      port: 80
EOF"
"What is the primary role of the `listeners` field within a Gateway resource in the Gateway API?
A) Defines the backend services to route traffic to.
B) Specifies the HTTP methods allowed for the Gateway.
 C) Defines the network endpoints where the Gateway listens for traffic.
D)  Specifies the authentication mechanisms used by the Gateway.",C) Defines the network endpoints where the Gateway listens for traffic.
"Which of the following best describes the relationship between a Gateway and a GatewayClass in the Gateway API?
A) A Gateway can be associated with multiple GatewayClasses simultaneously.
B) A GatewayClass defines the implementation, while a Gateway is an instance of that implementation.
C)  A GatewayClass is a subclass of a Gateway.
D) Gateways and GatewayClasses are independent resources with no relationship.","B) A GatewayClass defines the implementation, while a Gateway is an instance of that implementation."
"What is the primary purpose of EndpointSlices in Kubernetes?
A) To store persistent volumes for stateful applications.
B) To efficiently manage and scale the endpoints of a Service, especially with a large number of backends.
C) To secure network traffic between Pods within a namespace.
D) To manage the scheduling of Pods across nodes.","B) To efficiently manage and scale the endpoints of a Service, especially with a large number of backends."
"A Kubernetes Service has both IPv4 and IPv6 addresses. How many EndpointSlices will be created by the control plane, at minimum?
A) 0
B) 1
C) 2
D) It depends on the number of Pods.",C) 2
"What Kubernetes flag controls the maximum number of endpoints per EndpointSlice?
A) `--max-pods-per-node`
B) `--max-endpoints-per-slice`
C) `--service-account-issuer`
D) `--cluster-cidr`",B) `--max-endpoints-per-slice`
"Which condition in an EndpointSlice indicates that an endpoint is in the process of being removed?
A) `serving`
B) `ready`
C) `terminating`
D) `available`",C) `terminating`
Assume you need to create an EndpointSlice named `my-endpointslice` for a service named `my-service` with IPv4 address `192.168.1.10` and port 80 (protocol TCP).  Provide the kubectl command to create this EndpointSlice (Note: You can omit the metadata sections such as labels and namespaces for brevity).,"kubectl apply -f- <<EOF
apiVersion: discovery.k8s.io/v1
kind: EndpointSlice
metadata:
  name: my-endpointslice
ports:
- name: http
  port: 80
  protocol: TCP
endpoints:
- addresses:
  - 192.168.1.10
  conditions:
    ready: true
labels:
  kubernetes.io/service-name: my-service
EOF"
"What label is used to indicate which entity is managing an EndpointSlice to prevent conflicts between different controllers?
A) `kubernetes.io/service-name`
B) `endpointslice.kubernetes.io/managed-by`
C) `topology.kubernetes.io/zone`
D) `pod-template-hash`",B) `endpointslice.kubernetes.io/managed-by`
"A NetworkPolicy in Kubernetes is applied to which level?
A) Nodes
B) Pods
C) Clusters
D) Namespaces only",B) Pods
"Which of the following best describes the default behavior of egress traffic for a pod in Kubernetes without any NetworkPolicy applied?
A) All outbound traffic is blocked.
B) Only traffic to the node where the pod resides is allowed.

C) All outbound traffic is allowed.
D) Outbound traffic is restricted to specific ports.",C) All outbound traffic is allowed.
Create a NetworkPolicy named 'db-policy' in the 'default' namespace that allows ingress traffic on port 5432 from pods with the label 'app: frontend' to pods with the label 'app: database'.,kubectl create networkpolicy db-policy -n default --dry-run=client -o yaml | kubectl apply -f -
"A NetworkPolicy with both 'Ingress' and 'Egress' in its `policyTypes` field will:
A) Only affect ingress traffic.
B) Only affect egress traffic.
C) Affect both ingress and egress traffic.
D) Have no effect unless a `podSelector` is defined.",C) Affect both ingress and egress traffic.
"What happens if multiple NetworkPolicies apply to a single pod for ingress traffic?
A) The policies conflict, and only the first one applied takes effect.
B) The policies are additive, and the union of allowed connections is applied.
C) The policies are prioritized based on their creation timestamp.
D) An error occurs, and none of the policies are applied.","B) The policies are additive, and the union of allowed connections is applied."
"A pod in the 'dev' namespace needs to access a service named 'database' located in the 'prod' namespace.  Which of the following DNS queries would successfully resolve the service?
A) database
B) database.prod
C) database.dev.svc.cluster.local
D) database.svc.cluster.local",B) database.prod
"What DNS record type is used for named ports in a Kubernetes Service?
A) A
B) AAAA
C) SRV
D) CNAME",C) SRV
Create a headless service named 'headless-svc' in the 'default' namespace that will resolve to the IPs of all pods with the label 'app: myapp'.,kubectl create service --headless --selector=app=myapp headless-svc default
"A pod has its `spec.hostname` set to 'mypod' and `spec.subdomain` set to 'my-subdomain'.  Assuming a headless service with the name 'my-subdomain' exists in the same namespace, what fully qualified domain name (FQDN) will be used for DNS resolution within the pod?
A) mypod.my-subdomain.namespace.svc.cluster.local
B) mypod.namespace.svc.cluster.local
C) my-subdomain.namespace.svc.cluster.local
D) mypod.svc.cluster.local",A) mypod.my-subdomain.namespace.svc.cluster.local
"Which of the following options accurately describes the behavior of a Kubernetes cluster's DNS when a pod in the 'ns1' namespace queries for 'my-service' and there is a service with that name in 'ns2' but not in 'ns1'?
A) The query will automatically search the 'ns2' namespace and resolve the service.
B) The query will fail because DNS only searches the pod's own namespace by default.
C) The query will succeed only if the cluster domain is explicitly specified, e.g., my-service.ns2.svc.cluster.local.
D) The query will be expanded to my-service.ns1.svc.cluster.local and fail if no service exists in ns1.",D) The query will be expanded to my-service.ns1.svc.cluster.local and fail if no service exists in ns1.
How can you ensure that a pod's hostname reflects its fully qualified domain name (FQDN)?,Set `setHostnameAsFQDN: true` in the Pod's spec.
"What is the minimum Kubernetes version required to utilize IPv4/IPv6 dual-stack networking?

A) Kubernetes 1.21
B) Kubernetes 1.20
C) Kubernetes 1.23
D) Kubernetes 1.19",B) Kubernetes 1.20
"Which kube-apiserver flag is used to configure the IPv4 and IPv6 CIDR ranges for Service cluster IPs in a dual-stack environment?

A) --cluster-cidr
B) --service-cluster-ip-range
C) --node-cidr-mask-size-ipv4
D) --node-ip",B) --service-cluster-ip-range
"A Service is created without specifying `.spec.ipFamilyPolicy`.  What will be the default `.spec.ipFamilyPolicy` and from which IP range will the cluster IP be allocated?

A) RequireDualStack; from the second configured service cluster IP range.
B) PreferDualStack; from the IPv6 configured service cluster IP range.
 C) SingleStack; from the first configured service cluster IP range.
D) SingleStack; from the IPv4 configured service cluster IP range.",C) SingleStack; from the first configured service cluster IP range.
"Create a Service named `dual-stack-svc` with `PreferDualStack` ipFamilyPolicy and ports 80/TCP and 443/TCP, that targets pods with label `app: myapp`.","kubectl create service --dry-run=client -o yaml | yq e '.spec.ipFamilyPolicy=""PreferDualStack""' - | kubectl apply -f -"
"What happens to existing Services when dual-stack is enabled on a cluster (e.g., upgrading from a version before 1.21)?

A) They automatically become dual-stack Services.
B) They are deleted and must be re-created.
 C) They retain their original IP family and `.spec.ipFamilyPolicy` is set to `SingleStack`.
D)  They are updated to use `RequireDualStack` and assign both IPv4 and IPv6 addresses.",C) They retain their original IP family and `.spec.ipFamilyPolicy` is set to `SingleStack`.
"What is the purpose of the `.spec.ipFamilies` field in a Service definition?

A) To specify the order of preferred IP families for dual-stack services.
B) To explicitly define the node IPs for the service.
 C) To control the restart policy for the Pods.
D) To determine the load balancer type for the service.",A) To specify the order of preferred IP families for dual-stack services.
"Which annotation enables Topology Aware Routing in Kubernetes?

A) service.kubernetes.io/topology-hints
B) service.kubernetes.io/topology-aware-hints
C) service.kubernetes.io/topology-mode
D) kubernetes.io/topology-aware",C) service.kubernetes.io/topology-mode
"What is the minimum number of endpoints per zone recommended for Topology Aware Routing to function effectively in a three-zone cluster?

A) 1
B) 3
C) 6
D) 9",B) 3
Create a Kubernetes Service named 'my-service' with the annotation `service.kubernetes.io/topology-mode: Auto`.,"kubectl create service --dry-run=client -o yaml | yq e '.metadata.annotations = (.metadata.annotations | .service.kubernetes.io/topology-mode=""Auto"")' - | kubectl apply -f -"
"Under what condition will kube-proxy ignore Topology Aware Routing hints and route traffic to endpoints regardless of zone?

A) When the EndpointSlice controller is unable to evenly distribute endpoints among zones.
B) When there are fewer endpoints than zones in the cluster.
C) When a node is missing the `topology.kubernetes.io/zone` label.
D) All of the above.",D) All of the above.
"Which Kubernetes component is primarily responsible for setting the topology hints on EndpointSlices?

A) kube-proxy
B) kube-scheduler
C) EndpointSlice controller
D) kube-apiserver",C) EndpointSlice controller
Assume a service named 'example-svc' already exists.  Add the annotation `service.kubernetes.io/topology-mode: Auto` to this service.,kubectl annotate service example-svc service.kubernetes.io/topology-mode=Auto
"Which CNI network mode on Windows offers the best performance by connecting containers directly to the host's underlay network, but requires User Defined Routes (UDR) for inter-node communication?

A) L2Tunnel
B) Overlay
C) L2bridge
D) NAT",C) L2bridge
"Which Kubernetes feature, when enabled with DSR (Direct Server Return), allows return traffic from load balancers to bypass the load balancer and directly respond to the client, optimizing performance?

A) Session Affinity
B) Preserve-Destination
C) IPv4/IPv6 Dual-Stack
D)  None of the above",B) Preserve-Destination
"What component is responsible for managing networking resources such as virtual networks, endpoints/vNICs, and namespaces in Windows containers?

A) HCS (Host Compute Service)
B) CNI (Container Network Interface)
C) HNS (Host Networking Service)
D) kube-proxy",C) HNS (Host Networking Service)
"Which CNI plugin on Windows utilizes VXLAN encapsulation and is suitable when virtual container networks need to be isolated from the host's underlay network for security reasons?

A) win-bridge
B) Flannel host-gateway
C) win-overlay
D) Azure-CNI",C) win-overlay
"Assuming you have a Windows node in your cluster, and you need to enable session affinity for a service, what command-line argument or setting would you use (within the service specification)?","service.spec.sessionAffinity: ""ClientIP"""
What is the supported IPAM option for use exclusively with the Azure CNI plugin on Windows?,azure-vnet-ipam
"A Kubernetes Service of type ClusterIP is created with a statically assigned IP address of 10.96.0.15 within the cluster's configured IP range of 10.96.0.0/16.  Later, another Service is created with a dynamically assigned ClusterIP. Which statement BEST describes the outcome if the dynamic allocation process attempts to assign 10.96.0.15?
A) The dynamic allocation will succeed, and both Services will use 10.96.0.15.
B) The dynamic allocation will fail, and a different IP address will be assigned to the second Service.
C) The system will automatically choose a different subnet to avoid a conflict.
D) The first Service's IP address will be changed to a different IP address.","B) The dynamic allocation will fail, and a different IP address will be assigned to the second Service."
